country,pollution_index,exp_polluton_index
Afghanistan,92.28,166.39
Albania,75.08,131.29
Algeria,64.79,113.17
Argentina,54.5,93.17
Armenia,62.91,114.47
Australia,24.32,39.21
Austria,23.06,37.52
Azerbaijan,78.15,137.58
Bahrain,76.56,140.44
Bangladesh,90.09,162.49
Belarus,40.69,66.98
Belgium,49.4,83.75
Bosnia And Herzegovina,62.87,112.12
Brazil,59.14,101.34
Bulgaria,64.23,116.15
Cambodia,80.22,142.36
Canada,27.71,45.69
Chile,65.21,119.71
China,83.08,151.33
Colombia,63.08,112.95
Costa Rica,49.37,85.6
Croatia,33.1,54.17
Cyprus,56.23,95.32
Czech Republic,40.61,68.16
Denmark,22.48,34.25
Dominican Republic,77.98,137.22
Ecuador,57.92,99.02
Egypt,87.61,156.61
Estonia,18.05,30.42
Ethiopia,79.23,139.64
Finland,12.19,22.35
France,41.04,68.6
Georgia,74.34,134.56
Germany,28.15,45.01
Greece,52.4,91.29
Hong Kong,67.87,121.14
Hungary,46.33,79.72
Iceland,15.55,27.26
India,75.17,131.85
Indonesia,62.27,106.42
Iran,80.63,147.72
Iraq,78.95,139.65
Ireland,30.41,51.26
Israel,59.39,105.24
Italy,53.8,90.83
Jamaica,71.22,125.04
Japan,35.96,57.46
Jordan,80.56,142.78
Kazakhstan,74.42,135.24
Kenya,71.2,125.97
Kuwait,72.85,129.51
Latvia,34.36,55.72
Lebanon,86.7,154.53
Lithuania,32.01,52.51
Macedonia,81.49,148.42
Malaysia,64.46,110.64
Malta,72.22,126.42
Mauritius,56.66,96.76
Mexico,66.19,114.41
Monaco,84.31,155.14
Mongolia,92.86,170.67
Morocco,66.54,115.53
Myanmar,92.27,168.74
Nepal,84.6,150.62
Netherlands,28.1,46.19
New Zealand,21.87,37.39
Nigeria,87.88,157.45
Norway,20.11,32.84
Oman,40.96,66.66
Pakistan,75.53,132.41
Panama,62.52,110.29
Peru,83.63,149.3
Philippines,74.13,130.18
Poland,52.15,92.24
Portugal,31.31,50.72
Puerto Rico,48.58,83.6
Qatar,68.17,120.84
Romania,54.36,91.48
Russia,63.37,109.21
Saudi Arabia,68.41,120.38
Serbia,57.92,99.81
Singapore,33.09,56.4
Slovakia,41.33,69.53
Slovenia,25.49,44.84
South Africa,59.19,101.37
South Korea,53.4,96.46
Spain,38.59,63.4
Sri Lanka,58.53,100.02
Sweden,18.48,29.4
Switzerland,22.9,36.8
Taiwan,63.91,111.36
Thailand,72.56,126.78
Trinidad And Tobago,68.7,119.32
Tunisia,66.87,116.28
Turkey,69.03,121.38
Ukraine,66.18,114.94
United Arab Emirates,53.91,92.44
United Kingdom,38.45,63.13
United States,32.26,54.08
Uruguay,45.58,80.34
Venezuela,74.88,132.64
Vietnam,87.53,156.89
